iter	Passed	Remaining
398	100908	657802
399	101138	657401
400	101402	657220
401	101689	657185
402	101973	657131
403	102273	657182
404	102555	657117
405	102793	656763
406	103049	656529
407	103303	656281
408	103571	656118
409	103841	655976
410	104115	655853
411	104433	656004
412	104708	655886
413	104971	655694
414	105240	655534
415	105503	655336
416	105756	655080
417	105950	654461
418	106223	654329
419	106527	654382
420	106801	654255
421	107065	654060
422	107342	653952
423	107615	653817
424	107852	653457
425	108130	653354
426	108391	653140
427	108642	652868
428	108898	652628
429	109138	652294
430	109360	651851
431	109592	651463
432	109834	651144
433	110090	650906
434	110328	650559
435	110639	650641
436	110940	650664
437	111168	650257
438	111405	649906
439	111591	649260
440	111829	648912
441	112097	648747
442	112392	648730
443	112649	648496
444	112947	648495
445	113235	648439
446	113497	648228
447	113784	648164
448	113952	647425
449	114237	647348
450	114513	647217
451	114802	647161
452	115080	647044
453	115340	646821
454	115594	646567
455	115875	646461
456	116142	646281
457	116408	646093
458	116667	645864
459	116921	645609
460	117181	645387
461	117406	644975
462	117675	644798
463	117960	644715
464	118181	644279
465	118449	644101
466	118716	643914
467	118980	643717
468	119281	643715
469	119579	643695
470	119790	643205
471	120064	643058
472	120255	642466
473	120476	642032
474	120764	641956
475	121051	641879
476	121341	641812
477	121621	641692
478	121944	641798
479	122252	641823
480	122496	641514
481	122795	641493
482	123035	641160
483	123316	641043
484	123616	641019
485	123900	640918
486	124193	640858
487	124515	640949
488	124810	640898
489	125075	640693
490	125388	640731
491	125676	640643
492	125946	640463
493	126223	640317
494	126524	640289
495	126854	640410
496	127132	640268
497	127410	640123
498	127729	640181
499	128038	640194
500	128335	640141
501	128675	640299
502	128957	640172
503	129207	639884
504	129497	639795
505	129756	639548
506	129988	639175
507	130281	639095
508	130588	639088
509	130878	638994
510	131164	638881
511	131419	638616
512	131668	638323
513	131884	637868
514	132206	637927
515	132459	637652
516	132684	637244
517	132983	637193
518	133267	637064
519	133579	637069
520	133863	636944
521	134135	636760
522	134414	636606
523	134679	636387
524	134951	636200
525	135228	636035
526	135515	635920
527	135795	635771
528	136107	635768
529	136448	635903
530	136749	635845
531	137039	635740
532	137342	635692
533	137614	635501
534	137907	635403
535	138205	635330
536	138523	635352
537	138813	635239
538	139063	634944
539	139312	634644
540	139598	634514
541	139895	634432
542	140163	634222
543	140460	634138
544	140704	633814
545	140969	633587
546	141225	633321
547	141509	633178
548	141782	632986
549	142076	632884
550	142357	632729
551	142591	632360
552	142902	632336
553	143184	632182
554	143430	631867
555	143728	631785
556	144009	631624
557	144295	631488
558	144564	631272
559	144857	631165
560	145127	630956
561	145453	630987
562	145739	630848
563	146027	630715
564	146300	630515
565	146591	630394
566	146857	630167
567	147153	630063
568	147472	630061
569	147760	629925
570	148074	629899
571	148365	629775
572	148659	629661
573	148977	629648
574	149270	629531
575	149523	629244
576	149800	629058
577	150046	628742
578	150326	628566
579	150644	628553
580	150947	628470
581	151254	628407
582	151555	628317
583	151780	627914
584	152085	627841
585	152385	627746
586	152653	627518
587	152940	627369
588	153244	627288
589	153537	627162
590	153852	627124
591	154159	627052
592	154466	626984
593	154694	626588
594	154990	626473
595	155261	626255
596	155579	626226
597	155898	626199
598	156183	626036
599	156496	625987
600	156760	625739
601	157015	625455
602	157320	625369
603	157588	625134
604	157864	624936
605	158143	624743
606	158411	624512
607	158685	624302
608	158987	624203
609	159255	623967
610	159498	623635
611	159800	623535
612	160092	623395
613	160408	623347
614	160713	623253
615	160956	622921
616	161261	622830
617	161548	622668
618	161846	622548
619	162165	622506
620	162477	622437
621	162770	622294
622	163054	622117
623	163365	622047
624	163639	621829
625	163921	621645
626	164237	621586
627	164512	621376
628	164806	621234
629	165084	621030
630	165380	620898
631	165692	620822
632	165986	620678
633	166281	620539
634	166557	620329
635	166884	620307
636	167187	620196
637	167447	619922
638	167716	619684
639	167981	619430
640	168273	619276
641	168562	619112
642	168872	619022
643	169143	618793
644	169429	618616
645	169699	618379
646	169994	618231
647	170256	617968
648	170561	617858
649	170830	617616
650	171108	617409
651	171412	617294
652	171715	617178
653	172013	617039
654	172303	616874
655	172635	616854
656	172946	616763
657	173236	616595
658	173515	616389
659	173778	616125
660	174051	615895
661	174364	615806
662	174660	615658
663	174972	615566
664	175268	615415
665	175546	615202
666	175833	615023
667	176100	614770
668	176381	614567
669	176661	614359
670	176972	614260
671	177279	614147
672	177575	613993
673	177877	613863
674	178176	613718
675	178466	613544
676	178759	613378
677	179035	613157
678	179330	612998
679	179627	612845
680	179885	612561
681	180181	612405
682	180463	612201
683	180764	612061
684	181015	611754
685	181316	611611
686	181614	611461
687	181919	611335
688	182197	611113
689	182490	610945
690	182762	610706
691	183000	610355
692	183272	610114
693	183557	609918
694	183831	609686
695	184108	609463
696	184420	609355
697	184701	609145
698	184941	608797
699	185239	608645
700	185541	608503
701	185843	608358
702	186134	608182
703	186418	607978
704	186693	607748
705	186975	607538
706	187264	607351
707	187537	607112
708	187867	607057
709	188163	606894
710	188437	606657
711	188716	606437
712	189045	606375
713	189333	606186
714	189650	606084
715	189963	605973
716	190277	605863
717	190609	605810
718	190912	605661
719	191223	605541
720	191520	605376
721	191802	605160
722	192125	605074
723	192394	604818
724	192684	604630
725	193008	604545
726	193333	604465
727	193602	604208
728	193868	603944
729	194151	603730
730	194401	603416
731	194689	603217
732	195004	603103
733	195274	602850
734	195572	602683
735	195904	602619
736	196218	602499
737	196547	602425
738	196848	602265
739	197133	602055
740	197398	601786
741	197669	601532
742	197946	601298
743	198233	601094
744	198533	600929
745	198811	600698
746	199082	600447
747	199338	600148
748	199621	599931
749	199920	599760
750	200199	599531
751	200485	599322
752	200785	599157
753	201078	598969
754	201345	598701
755	201616	598447
756	201920	598292
757	202256	598230
758	202551	598046
759	202874	597944
760	203181	597797
761	203485	597639
762	203754	597375
763	204015	597091
764	204286	596836
765	204586	596666
766	204881	596479
767	205155	596234
768	205423	595969
769	205694	595712
770	206013	595595
771	206355	595544
772	206666	595402
773	206960	595213
774	207269	595063
775	207541	594810
776	207827	594595
777	208124	594412
778	208420	594225
779	208707	594012
780	209063	593995
781	209357	593804
782	209665	593651
783	209992	593550
784	210303	593402
785	210576	593149
786	210875	592969
787	211153	592729
788	211413	592440
789	211756	592381
790	212104	592337
791	212387	592109
792	212714	592005
793	213043	591905
794	213377	591820
795	213644	591549
796	213986	591483
797	214311	591371
798	214601	591161
799	214891	590952
800	215206	590810
801	215523	590674
802	215839	590535
803	216144	590363
804	216473	590260
805	216811	590179
806	217091	589939
807	217392	589758
808	217649	589457
809	217891	589113
810	218172	588876
811	218486	588730
812	218770	588500
813	219051	588263
814	219330	588020
815	219592	587732
816	219898	587563
817	220193	587362
818	220498	587188
819	220754	586884
820	221075	586751
821	221377	586568
822	221697	586435
823	221991	586228
824	222281	586015
825	222589	585847
826	222894	585670
827	223214	585533
828	223547	585430
829	223869	585298
830	224157	585075
831	224386	584698
832	224701	584548
833	224969	584272
834	225250	584033
835	225564	583876
836	225899	583777
837	226218	583633
838	226558	583544
839	226857	583348
840	227124	583069
841	227315	582596
842	227549	582235
843	227788	581886
844	227993	581449
845	228217	581063
846	228484	580788
847	228667	580296
848	228885	579895
849	229139	579588
850	229399	579295
851	229612	578883
852	229832	578489
853	230043	578070
854	230258	577664
855	230442	577182
856	230662	576791
857	230872	576374
858	231093	575985
859	231326	575625
860	231540	575221
861	231763	574837
862	231969	574413
