iter	Logloss
0	0.6573781223
1	0.6261594697
2	0.5971347118
3	0.5718071062
4	0.5484952716
5	0.526560878
6	0.5076715769
7	0.4904874988
8	0.4754451707
9	0.461515447
10	0.4492691818
11	0.4379588194
12	0.4280385819
13	0.4195282615
14	0.4109789014
15	0.4035138208
16	0.3966633332
17	0.390836656
18	0.3854514922
19	0.3801593074
20	0.3753781775
21	0.3713289556
22	0.3674970698
23	0.363812474
24	0.3605016072
25	0.357423456
26	0.3546612464
27	0.3518920055
28	0.3493682658
29	0.3468638355
30	0.344675574
31	0.3424349964
32	0.3404033778
33	0.3384556779
34	0.3368872655
35	0.3352731273
36	0.3337853405
37	0.3323850566
38	0.3311294586
39	0.3300791843
40	0.3289843922
41	0.3279273225
42	0.3268584986
43	0.3261324974
44	0.3252250652
45	0.3244867518
46	0.3236371044
47	0.3228218432
48	0.3220634516
49	0.3213662068
50	0.3207247086
51	0.3200568667
52	0.3194588477
53	0.3189115328
54	0.3183671244
55	0.3179080916
56	0.3175006995
57	0.3170908285
58	0.3167373329
59	0.3163676946
60	0.3158690093
61	0.3155199115
62	0.3151837201
63	0.3148422754
64	0.3144692132
65	0.3141784059
66	0.3138392818
67	0.3136001025
68	0.3132674538
69	0.3129653953
70	0.3126653897
71	0.312407538
72	0.3121658841
73	0.3119608297
74	0.3117306934
75	0.3114889176
76	0.311320044
77	0.3111109688
78	0.3109085672
79	0.3107313473
80	0.3105826625
81	0.310426016
82	0.3102405559
83	0.3100803113
84	0.3099537674
85	0.3097746841
86	0.3096209891
87	0.3094451439
88	0.3093212661
89	0.3091924118
90	0.309062921
91	0.3089336985
92	0.3088187964
93	0.3087107921
94	0.3085394625
95	0.3084218119
96	0.3083215301
97	0.3081866138
98	0.3080929789
99	0.3080088444
100	0.3079217136
101	0.3078455873
102	0.3077716474
103	0.3076738412
104	0.3075880624
105	0.3075198391
106	0.3073989544
107	0.3073318776
108	0.3072467323
109	0.3071609753
110	0.3070531344
111	0.3069579105
112	0.306858278
113	0.3067815671
114	0.3067088014
115	0.3066266451
116	0.306572174
117	0.3064923368
118	0.3064370339
119	0.3063581492
120	0.3062681364
121	0.3062204708
122	0.3061506312
123	0.3060775465
124	0.3060369513
125	0.3059715282
126	0.3059034943
127	0.3058570251
128	0.3058063557
129	0.3057662145
130	0.3057188799
131	0.3056681857
132	0.3056192022
133	0.3055668293
134	0.3055230466
135	0.3054746203
136	0.3054254545
137	0.3053867692
138	0.3053339975
139	0.3052995485
140	0.3052469549
141	0.305201649
142	0.305166939
143	0.3051350428
144	0.3050860847
145	0.3050517617
146	0.3050154866
147	0.304983242
148	0.3049514123
149	0.3049219415
150	0.304887406
151	0.3048519423
152	0.3048175887
153	0.3047885943
154	0.3047572746
155	0.3047178393
156	0.3046871302
157	0.3046593403
158	0.3046211239
159	0.3045964738
160	0.3045731439
161	0.3045379677
162	0.3045118255
163	0.3044872883
164	0.3044615978
165	0.3044371544
166	0.3044049191
167	0.3043709456
168	0.3043432151
169	0.304312074
170	0.3042821747
171	0.3042615005
172	0.3042370764
173	0.3042189688
174	0.3041997769
175	0.3041769374
176	0.3041602579
177	0.3041278908
178	0.3041059431
179	0.3040798339
180	0.304054692
181	0.3040343091
182	0.3040132879
183	0.3039825887
184	0.3039640472
185	0.3039390151
186	0.3039108237
187	0.303887842
188	0.3038622124
189	0.303838981
190	0.3038193663
191	0.3038043421
192	0.3037872631
193	0.3037683549
194	0.3037492631
195	0.3037302544
196	0.3037109333
197	0.3036907589
198	0.3036674501
199	0.3036485611
200	0.3036269195
201	0.3035970404
202	0.3035831242
203	0.3035577759
204	0.3035334532
205	0.3035093488
206	0.3034887412
207	0.3034700901
208	0.3034480742
209	0.3034315056
210	0.3034114595
211	0.3033895178
212	0.3033708749
213	0.3033590913
214	0.3033378661
215	0.3033213196
216	0.3033046279
217	0.3032899098
218	0.3032765363
219	0.3032582813
220	0.303236461
221	0.3032171306
222	0.3032028679
223	0.3031814424
224	0.303164579
225	0.3031460864
226	0.3031312663
227	0.3031079418
228	0.3030922575
229	0.3030762977
230	0.3030611169
231	0.3030378681
232	0.3030236562
233	0.3030109816
234	0.3029988541
235	0.3029866463
236	0.3029718698
237	0.3029606779
238	0.3029367915
239	0.3029247834
240	0.3029110977
241	0.3028987236
242	0.3028745324
243	0.3028642417
244	0.3028536258
245	0.3028366534
246	0.3028274409
247	0.3028158671
248	0.3028043127
249	0.3027874901
250	0.3027724832
251	0.30275685
252	0.3027414494
253	0.3027280202
254	0.3027136051
255	0.3027023728
256	0.3026856999
257	0.3026718886
258	0.3026535386
259	0.3026443825
260	0.3026297351
261	0.3026173795
262	0.3026010406
263	0.3025867292
264	0.3025763673
265	0.302559313
266	0.3025436858
267	0.3025314889
268	0.3025230322
269	0.3025076973
270	0.3024916541
271	0.3024808689
272	0.3024679871
273	0.3024500158
274	0.3024299958
275	0.3024152756
276	0.3024074077
