iter	Logloss
277	0.3023946491
278	0.302380834
279	0.3023614011
280	0.3023449903
281	0.302336316
282	0.3023267269
283	0.3023130921
284	0.3022972207
285	0.3022849661
286	0.3022752056
287	0.3022638321
288	0.3022463922
289	0.3022274006
290	0.3022162868
291	0.3022014348
292	0.3021871653
293	0.3021754303
294	0.3021633206
295	0.3021509677
296	0.3021350239
297	0.3021222109
298	0.3021063354
299	0.302092148
300	0.3020839068
301	0.3020755268
302	0.3020675952
303	0.3020502946
304	0.3020451848
305	0.3020387903
306	0.3020278857
307	0.3020092419
308	0.3019998841
309	0.3019871157
310	0.3019741035
311	0.301964038
312	0.3019582909
313	0.3019506843
314	0.3019347145
315	0.3019212288
316	0.3019090399
317	0.3019018813
318	0.3018961453
319	0.3018820642
320	0.3018737344
321	0.3018641604
322	0.301855528
323	0.3018445502
324	0.3018341304
325	0.3018208187
326	0.3018106211
327	0.3018036118
328	0.3017914164
329	0.3017836898
330	0.3017754772
331	0.3017636954
332	0.3017582351
333	0.3017453822
334	0.3017360018
335	0.3017227626
336	0.3017126715
337	0.3017041859
338	0.3016964326
339	0.3016879207
340	0.3016757748
341	0.3016663897
342	0.3016564264
343	0.3016454742
344	0.3016330074
345	0.3016185213
346	0.3016076987
347	0.3015942547
348	0.3015853343
349	0.3015762834
350	0.3015695736
351	0.301554538
352	0.3015406152
353	0.3015320119
354	0.3015210481
355	0.3015128752
356	0.301504532
357	0.3014969113
358	0.3014898265
359	0.301479678
360	0.3014698448
361	0.3014621237
362	0.3014477351
363	0.3014383002
364	0.3014262166
365	0.301414528
366	0.3014057339
367	0.3014004881
368	0.3013909383
369	0.3013829746
370	0.3013750251
371	0.3013664943
372	0.3013577274
373	0.3013417816
374	0.301335595
375	0.3013250159
376	0.3013171481
377	0.3013075386
378	0.3013006877
379	0.3012905308
380	0.3012796129
381	0.3012666935
382	0.3012571189
383	0.3012465235
384	0.3012322759
385	0.3012163968
386	0.3012109974
387	0.3012012607
388	0.3011849756
389	0.3011762161
390	0.3011661472
391	0.3011570022
392	0.3011460249
393	0.3011376664
394	0.3011308826
395	0.301124778
396	0.3011138919
397	0.3011022771
398	0.3010953113
399	0.3010867532
400	0.3010766101
401	0.3010684457
402	0.3010558267
403	0.3010465417
404	0.3010395086
405	0.3010298189
406	0.3010217435
407	0.3010137655
408	0.3010020505
409	0.3009954052
410	0.3009872569
411	0.3009794296
412	0.3009722203
413	0.3009623221
414	0.3009548562
415	0.3009484942
416	0.300939108
417	0.3009311458
418	0.300922636
419	0.3009135818
420	0.3009035799
421	0.3008960609
422	0.3008858075
423	0.3008753599
424	0.3008662766
425	0.3008577656
426	0.3008442482
427	0.3008368038
428	0.3008268043
429	0.3008157677
430	0.3008083508
431	0.3008026307
432	0.300795284
433	0.3007878912
434	0.3007771896
435	0.3007731026
436	0.3007684588
437	0.3007598247
438	0.300746849
439	0.300738165
440	0.3007305638
441	0.3007234404
442	0.3007134869
443	0.3007049465
444	0.3006951395
445	0.3006816072
446	0.3006755214
447	0.3006675633
448	0.3006580263
449	0.3006478476
450	0.3006371239
451	0.3006295189
452	0.3006229189
453	0.3006119046
454	0.3005980503
455	0.3005890637
456	0.300581528
457	0.300569809
458	0.3005563915
459	0.3005479153
460	0.3005399289
461	0.3005312278
462	0.3005189525
463	0.3005069656
464	0.3004992269
465	0.3004909325
466	0.3004839606
467	0.3004743726
468	0.3004673698
469	0.3004607025
470	0.3004520807
471	0.300443899
472	0.3004388226
473	0.3004296175
474	0.3004164399
475	0.3004096088
476	0.3004042279
477	0.300397097
478	0.3003849353
479	0.3003765027
480	0.3003699414
481	0.3003645099
482	0.300356029
483	0.3003487689
484	0.3003417999
485	0.300336423
486	0.3003306639
487	0.3003210499
488	0.30031109
489	0.3003002875
490	0.3002911333
491	0.3002797652
492	0.3002668387
493	0.3002547359
494	0.3002480578
495	0.3002402901
496	0.3002292803
497	0.3002223307
498	0.3002135243
499	0.3002068629
500	0.3002011738
501	0.3001956378
502	0.3001849725
503	0.3001789896
504	0.3001736809
505	0.3001649284
506	0.3001588045
507	0.3001518418
508	0.3001431608
509	0.3001370462
510	0.3001287578
511	0.3001207317
512	0.3001104606
513	0.3001033139
514	0.3000963456
515	0.300088789
516	0.3000796276
517	0.3000731787
518	0.3000654955
519	0.3000553297
520	0.3000448488
521	0.3000384841
522	0.3000336387
523	0.3000259966
524	0.300016264
525	0.3000098636
526	0.3000048533
527	0.2999990953
528	0.2999936872
529	0.2999856514
530	0.2999785429
531	0.2999701382
532	0.2999618199
533	0.299955621
534	0.2999441173
535	0.2999363949
536	0.2999302923
537	0.2999229772
538	0.2999169982
539	0.2999111233
540	0.2999048204
541	0.2998985589
542	0.2998939054
543	0.2998882683
544	0.2998809833
545	0.299872632
546	0.2998637827
547	0.2998512462
548	0.299842565
549	0.2998370355
550	0.2998290688
551	0.2998171739
552	0.2998121137
553	0.2998066146
554	0.299801161
555	0.2997948124
556	0.2997881423
557	0.2997783173
558	0.2997729583
559	0.2997680225
560	0.2997609767
561	0.2997553585
562	0.2997492383
563	0.2997419497
564	0.2997316129
565	0.2997202308
566	0.2997149554
567	0.2997066278
568	0.2996951508
569	0.2996899917
570	0.2996834723
571	0.2996763502
572	0.2996696912
573	0.2996618922
574	0.2996550415
575	0.2996499438
576	0.2996437387
577	0.2996343628
578	0.2996280431
579	0.299616893
580	0.2996115803
581	0.2996036522
582	0.2995986527
583	0.2995928231
584	0.2995878155
585	0.2995820439
586	0.2995727141
587	0.2995619557
588	0.2995525935
589	0.2995420035
590	0.2995340424
591	0.2995284698
592	0.2995234838
593	0.2995178722
594	0.2995116117
595	0.2995052099
596	0.2994999167
597	0.2994922599
598	0.2994824609
599	0.2994742359
600	0.2994685356
601	0.2994610657
602	0.2994540493
603	0.2994496117
604	0.2994397386
605	0.2994333987
606	0.2994252315
607	0.2994191781
608	0.2994152414
609	0.2994053498
610	0.2993982093
611	0.299388552
612	0.2993802035
613	0.2993760135
614	0.2993681038
615	0.2993617799
616	0.2993520841
617	0.2993463601
618	0.2993398161
619	0.2993350923
620	0.2993288426
621	0.2993235766
622	0.2993168707
623	0.2993119854
624	0.2993018484
625	0.2992973714
626	0.2992886204
627	0.2992815635
628	0.2992757922
629	0.2992699218
630	0.2992632953
631	0.2992569348
632	0.29925209
633	0.2992435624
634	0.2992345895
635	0.2992288492
636	0.2992239568
637	0.2992166588
638	0.2992117036
639	0.2992070365
640	0.2991999112
641	0.2991942151
642	0.2991879275
643	0.2991825371
644	0.2991767821
645	0.2991715518
646	0.2991648734
647	0.2991575869
648	0.299150929
649	0.2991456215
650	0.2991413977
651	0.2991340271
652	0.2991279263
653	0.2991200076
654	0.2991142382
655	0.2991095887
656	0.299102832
657	0.2990921262
658	0.2990856688
659	0.2990800775
660	0.299073843
661	0.2990676629
662	0.2990602477
663	0.2990531959
664	0.299047768
665	0.2990410009
666	0.2990366368
667	0.2990311862
668	0.2990257432
669	0.2990186811
670	0.2990122981
671	0.2990062629
672	0.2989991765
673	0.2989938383
674	0.298988314
675	0.2989814092
676	0.2989770401
677	0.2989716904
678	0.2989670504
679	0.2989621224
680	0.2989570827
681	0.2989492896
682	0.298941603
683	0.2989363333
684	0.2989322962
685	0.2989275463
686	0.2989188538
687	0.2989098455
688	0.2989062913
689	0.2989015564
690	0.2988967051
691	0.2988910963
692	0.2988865659
693	0.2988782092
694	0.2988719541
695	0.2988678634
696	0.2988636318
697	0.2988579056
698	0.2988526922
699	0.298844666
